Product	Price
Milk (regular), (0.25 liter)	0.39 Fr.
Loaf of Fresh White Bread (125.00 g)	0.70 Fr.
Rice (white), (0.10 kg)	0.28 Fr.
Eggs (regular) (2.40)	1.12 Fr.
Local Cheese (0.10 kg)	2.33 Fr.
Chicken Fillets (0.15 kg)	3.83 Fr.
Beef Round (0.15 kg) (or Equivalent Back Leg Red Meat)	7.51 Fr.
Apples (0.30 kg)	1.16 Fr.
Banana (0.25 kg)	0.69 Fr.
Oranges (0.30 kg)	0.99 Fr.
Tomato (0.20 kg)	0.81 Fr.
Potato (0.20 kg)	0.51 Fr.
Onion (0.10 kg)	0.25 Fr.
Lettuce (0.20 head)	0.46 Fr.
