productid;title;price;weight
000000000000507268_5011;Масло сладко-сливочное Коломенское несоленое 82,5%, 170 г;226;170
000000000000573776_5011;Масло сливочное Ровеньки 82,5%, 400 г;339;400
000000000000099720_5011;Масло сливочное Вологодское 82,5%, 100 г;122;100
000000000000310460_5011;Масло сливочное Arla Natura 82%, 180 г;177;180
000000000000434539_5011;Масло сливочное Козельское живое Крестьянское 72,5%, 200 г;133;200
000000000000432488_5011;Масло сливочное Главмаслопром Традиционное высший сорт 82,5%, 450 г;489;450
000000000000522323_5011;Масло сливочное Вологодское удолье традиционное высший сорт 82,5%, 180 г;162;180
000000000000162687_5011;Масло сладко-сливочное Судогодский молочный завод Крестьянское несолёное 72,5%, 200 г;119;200
000000000000457838_5011;Масло сливочное Ungrande Burro с морской солью 72,5%, 500 г;699;500
000000000000538794_5011;Масло сладко-сливочное Gudberg традиционное 82,5%, 10 г;8;10
000000000000226665_5011;Масло сливочное любительское солёное из Вологды 80%, 180 г;229;180
000000000000489343_5011;Масло сливочное Александровская ферма несолёное 72,5%, 180 г;129;180
000000000000172043_5011;Масло сливочное Крестьянское 72,5%, 180 г;188;180
000000000000432487_5011;Масло сливочное Традиционное Главмаслопром 82,5%, 180 г;196;180
000000000000541482_5011;Масло топлёное органическое ГХИ История в Богимово Богимовское золото, 150 г;489;150
000000000000372774_5011;Масло сладко-сливочное несолёное Асеньевская ферма традиционное 82,5%, 180 г;142;180
000000000000134510_5011;Масло сливочное Экомилк шоколадное 62%, 180 г;153;180
000000000000510800_5011;Масло сливочное Простоквашино 82%, 400 г;364;400
000000000000538807_5011;Масло сладко-сливочное несолёное Рогачевъ Крестьянское 72,5%, 160 г;134;160
000000000000528894_5011;Масло сливочное White Cheese from Zhukovka Традиционное 82,5%, 180 г;144;180
000000000000387708_5011;Масло сливочное шоколадное 62%, 1 упаковка (170-300 г);619;300
000000000000521615_5011;Масло сливочное Тульское крестьянское 72,5%, 180 г;116;180
000000000000389640_5011;Масло сладко-сливочное несолёное Крестьянское 100% качества 72,5%, 180 г;119;180
000000000000099721_5011;Масло сливочное шоколадное Вологодский молочный комбинат 62%, 180 г;155;180
000000000000082135_5011;Масло сливочное Простоквашино 72,5%, 180 г;179;180
000000000000544649_5011;Масло сливочное Фермерский супермаркет С ферм Крестьянское 82,5%, 200 г;199;200
000000000000392150_5011;Масло сливочное Arla Natura 82%, 400 г;385;400
000000000000479096_5011;Масло сливочное Экомилк порционное 82,5%, 100 г;69;100
000000000000221019_5011;Масло сладко-сливочное Свитлогорье 82,5%, 180 г;174;180
000000000000530363_5011;Масло сливочное История в Богимово органическое 82,5%, 200 г;369;200
000000000000496061_5011;Масло сливочное Молочная Здравница Ферма №1 Традиционное 82,5%, 100 г;119;100
000000000000204016_5011;Масло сливочное Радость вкуса Традиционное 82,5%, 180 г;142;180
000000000000608633_5011;Масло сладко-сливочное Unagrande без лактозы 72,5%, 500 г;769;500
000000000000493606_5011;Масло топлёное Вастэко ГХИ, 200 г;429;200
000000000000578080_5011;Масло сливочное Бежин луг 72,5%, 350 г;229;350
000000000000589540_5011;Масло из натуральных сливок Ровеньки шоколадное 62%, 170 г;146;170
000000000000453736_5011;Масло сладко-сливочное Макларин Деревенское в рассоле 82,5%, 250 г;139;250
000000000000556051_5011;Масло кислосливочное Тысяча Озёр 82,5%, 180 г;172;180
000000000000389641_5011;Масло сладко-сливочное несолёное Традиционное 100% качества 82,5%, 180 г;144;180
000000000000149749_5011;Масло сливочное Экомилк Традиционное 82,5%, 450 г;362;450
000000000000321683_5011;Масло сливочное из Вологды шоколадное 62%, 180 г;192;180
000000000000482597_5011;Масло сладко-сливочное Это Лето Традиционное несолёное 82,5%, 200 г;154;200
